"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"37","garlicky green beans","Salt, Fat, Acid, Heat",261,"side","western","Vegan","<span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>",5,1
"38","peanut lime dressing","Salt, Fat, Acid, Heat",253,"dressing","asian","Vegan","<span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>rice wine vinegar</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>peanut butter</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>",5,1
"39","Japanese sesame seed dressing","Salt, Fat, Acid, Heat",251,"dressing","asian","Vegan","<span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tahini</span>",1,0
"40","tahini dressing","Salt, Fat, Acid, Heat",251,"dressing","middle eastern","Vegan","<span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>tahini</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>cayenne pepper</span>",1,0
"41","green goddess dressing","Salt, Fat, Acid, Heat",250,"dressing","western","Non-vegetarian","<span style='color: #CD2626;'>chervil</span> or <span style='color: #458B00;'>anchovies</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>chives</span>, <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>mayonnaise</span>",5,5
"42","blue cheese dressing","Salt, Fat, Acid, Heat",249,"dressing","western","Vegetarian","<span style='color: #CD2626;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #CD2626;'>heavy cream</span>, <span style='color: #CD2626;'>blue cheese</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>garlic</span>",5,2
"43","ceramy herb dressing","Salt, Fat, Acid, Heat",248,"dressing","western","Vegetarian","<span style='color: #CD2626;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #CD2626;'>heavy cream</span> or <span style='color: #458B00;'>yogurt</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #CD2626;'>dill</span> or <span style='color: #CD2626;'>chives</span> or <span style='color: #458B00;'>basil</span> or <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>sugar</span>",1,0
"44","creamy caesar dressing","Salt, Fat, Acid, Heat",247,"dressing","western","Non-vegetarian","<span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>worcestershire sauce</span>",1,0
"45","orange vinaigrette","Salt, Fat, Acid, Heat",244,"dressing","western","Vegan","<span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"46","lime vinaigrette","Salt, Fat, Acid, Heat",243,"dressing","western","Vegan","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>",1,0
"47","brown butter vinaigrette","Anylist",241,"dressing","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>",1,0
"48","parmesean vinaigrette","Salt, Fat, Acid, Heat",241,"dressing","western","Vegetarian","<span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>parmesan</span>",1,0
"49","balsamic vinaigrette","Salt, Fat, Acid, Heat",241,"dressing","western","Vegan","<span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #1C86EE;'>mild red wine olive oil vinaigrette</span>",4,1
"50","pasta with broccoli rabe and chorizo bread crumbs","nothing fancy",253,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>chorizo</span> or <span style='color: #CD2626;'>sweet italian sausage</span>, <span style='color: #CD2626;'>broccoli rabe</span> or <span style='color: #458B00;'>kale</span>, <span style='color: #458B00;'>panko</span> or <span style='color: orange;'>crusty bread</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>parmesan</span>",5,2
"51","buttered slamon with red onion and dill","nothing fancy",247,"main","western","Non-vegetarian","<span style='color: #458B00;'>sesame seeds</span> or <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>salmon</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #CD2626;'>dill</span>",5,3
"52","swordfish with crushed olives and oregano","nothing fancy",243,"main","","Non-vegetarian","<span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>castlevetrano olives</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>swordfish</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>",5,3
"53","citrus chicken rested in herbs","nothing fancy",214,"main","","Non-vegetarian","<span style='color: #CD2626;'>rosemary</span> or <span style='color: orange;'>thyme</span> or <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>whole chicken</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>parsley</span>",5,3
"54","kimchi braised pork with sesame","nothing fancy",212,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>watercress</span> or <span style='color: #CD2626;'>radish</span> or <span style='color: #CD2626;'>granny smith apple</span> or <span style='color: #CD2626;'>pork shoulder</span> or <span style='color: #CD2626;'>baby back ribs</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>kimchi</span>, <span style='color: #458B00;'>scallions</span>",5,3
"55","one pot chicken with dates and caramelized lemon","nothing fancy",194,"main","","Non-vegetarian","<span style='color: orange;'>thyme</span> or <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>whole chicken</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>dates</span>, <span style='color: #458B00;'>red pepper flakes</span>",1,0
"56","butchers steak with dried chiles and salted peanuts","nothing fancy",182,"main","latin","Non-vegetarian","<span style='color: #CD2626;'>watercress</span> or <span style='color: #CD2626;'>avocado</span> or <span style='color: #CD2626;'>hazelnuts</span> or <span style='color: #CD2626;'>dry roasted peanuts</span>, <span style='color: #458B00;'>apple cider vinegar</span> or <span style='color: #458B00;'>white vinegar</span>, <span style='color: #458B00;'>short ribs</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>hanger steak</span> or <span style='color: #CD2626;'>strip steak</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>dried new mexico chile</span>, <span style='color: #458B00;'>guajillo chile</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>corn tortillas</span>",5,3
"57","buttered turmeric rice with crushed almonds and herbs","nothing fancy",173,"side","western","Vegetarian","<span style='color: #CD2626;'>mint</span> or <span style='color: #CD2626;'>dill</span> or <span style='color: #458B00;'>white rice</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>cilantro</span>",1,0
"58","frizzled chickpeas and onions with feta and oregano","nothing fancy",168,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>canned chickpeas</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #CD2626;'>feta</span>",5,1
"59","black lentiles with crispy garlic and labne","nothing fancy",167,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>cilantro</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>greek yogurt</span> or <span style='color: #458B00;'>sour cream</span>, <span style='color: #458B00;'>black lentils</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>lemon</span>",1,0
"60","farro with toasted fennel, lemon and basil","nothing fancy",164,"side","western","Vegan","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: orange;'>farro</span> or <span style='color: #458B00;'>barley</span> or <span style='color: #458B00;'>couscous</span> or <span style='color: orange;'>wheat berries</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #CD2626;'>fennel bulb</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>basil</span>",5,2
"61","garlicky broccoli and greens with hazelnut and coriander","nothing fancy",160,"side","western","Vegan","<span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>hazelnuts</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>kale</span>, <span style='color: #458B00;'>lemon</span>",5,2
"62","long roasted eggplant with garlic and croutons","nothing fancy",158,"side","western","Vegetarian","<span style='color: #458B00;'>greek yogurt</span> or <span style='color: #458B00;'>sour cream</span>, <span style='color: #CD2626;'>mint</span> or <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>eggplant</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: orange;'>crusty bread</span>, <span style='color: #458B00;'>preserved lemon</span>, <span style='color: #458B00;'>lemon</span>",5,3
"63","beets with buttermilk and walnuts","nothing fancy",155,"side","western","Vegetarian","<span style='color: #458B00;'>red wine vinegar</span> or <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>greek yogurt</span>, <span style='color: #458B00;'>walnuts</span> or <span style='color: #458B00;'>pecans</span> or <span style='color: #CD2626;'>hazelnuts</span>, <span style='color: #CD2626;'>beets</span>, <span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>sumac</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>olive oil</span>",5,2
